job_category;job_title;is_remote;no_degree_needed;has_insurance;schedule_type;job_country;posted_year;posted_month;annual_salary
Data Scientist;"Data Scientist; Data Strategy and Analytics";0;0;0;Full-time;United States;2023;12;204000
Data Scientist;Azure Big Data Engineer;0;0;0;Full-time;Spain;2023;12;45000
Data Scientist;Python for Data Science;0;0;0;Full-time;India;2023;12;105000
Data Scientist;AI/ML Health Data Science Managing Consultant;0;0;0;Full-time;United States;2023;12;142550
Data Engineer;Senior Consultant - Data Engineer;0;1;0;Full-time;Pakistan;2023;12;147500
Data Analyst;Data Analyst III - SQL Analytics - Remote | WFH;1;0;1;Full-time;United States;2023;12;99000
Data Engineer;Snaplogic Data Engineer;0;1;0;Full-time;United States;2023;12;140400
Data Engineer;Snaplogic Data Engineer;0;1;0;Full-time;United States;2023;12;97500
Senior Data Engineer;Sr. Cloud Data Engineer;0;1;0;Full-time;United States;2023;12;95000
Machine Learning Engineer;Data Science - Machine Learning Engineer;0;0;0;Full-time;United States;2023;12;166000
Senior Data Analyst;Senior Logistics Data Analyst;0;0;1;Full-time;United States;2023;12;175000
Senior Data Engineer;Senior Software Engineer (Data);0;0;0;Full-time;United States;2023;12;168500
Senior Data Analyst;Senior Data Analyst/Data Scientist;0;1;0;Full-time;Italy;2023;12;90916.8
Data Scientist;Mid Level Data Scientist;0;0;0;Full-time;United States;2023;12;130000
Data Scientist;Mid Level Data Scientist;0;0;0;Full-time;United States;2023;12;135200
Data Scientist;Mid Level Data Scientist;0;0;0;Full-time;United States;2023;12;70000
Data Scientist;Medical Data Scientist I;0;0;0;Full-time;United States;2023;12;73450
Data Engineer;"Principal; Data Engineer";0;1;0;Full-time;United States;2023;12;125000
Data Engineer;"Principal; Data Engineer";0;1;0;Full-time;United States;2023;12;151000
Data Engineer;Middle Data Engineer;0;1;0;Full-time;Colombia;2023;12;96773
Senior Data Analyst;Senior Data Analyst - Firm Analytics;0;0;1;Full-time;United States;2023;12;125655
Data Engineer;"Data Engineer; Azure";0;1;0;Full-time;United States;2023;12;100000
Data Analyst;Sr. Research Data Analyst;1;0;1;Full-time and Part-time;United States;2023;12;74395
Data Analyst;Sr. Research Data Analyst;1;0;1;Full-time and Part-time;United States;2023;12;75500
Data Analyst;Sr. Research Data Analyst;1;0;1;Full-time and Part-time;United States;2023;12;75900
Data Analyst;Sr. Research Data Analyst;1;0;1;Full-time and Part-time;United States;2023;12;82500
Data Analyst;Sr. Research Data Analyst;1;0;1;Full-time and Part-time;United States;2023;12;94710
Data Engineer;Full Stack Data Engineer;0;1;0;Full-time;Ireland;2023;12;130000
Data Engineer;Full Stack Data Engineer;0;1;0;Full-time;Ireland;2023;12;140000
Data Engineer;Full Stack Data Engineer;0;1;0;Full-time;Ireland;2023;12;140500
Data Engineer;Full Stack Data Engineer;0;1;0;Full-time;Ireland;2023;12;60000
Data Engineer;Full Stack Data Engineer;0;1;0;Full-time;Ireland;2023;12;87500
Senior Data Analyst;Sr. Data Analyst - Supply Chain;0;1;0;Full-time;United States;2023;12;100000
Senior Data Engineer;Senior Data Engineer (hybrid);0;0;1;Full-time;United States;2023;12;173500
Data Scientist;CRM Data Specialist;0;1;0;Full-time;Costa Rica;2023;12;109500
Senior Data Engineer;Senior Python Data Engineer;0;1;0;Full-time;Germany;2023;12;120000
Senior Data Engineer;Senior Python Data Engineer;0;1;0;Full-time;Germany;2023;12;140000
Senior Data Engineer;Senior Python Data Engineer;0;1;0;Full-time;Germany;2023;12;150000
Senior Data Engineer;Senior Python Data Engineer;0;1;0;Full-time;Germany;2023;12;160000
Senior Data Engineer;Senior Data Engineer (AWS);0;1;0;Full-time;Canada;2023;12;125000
Senior Data Engineer;Senior Data Engineer (AWS);0;1;0;Full-time;Canada;2023;12;130000
Senior Data Engineer;Senior Data Engineer (AWS);0;1;0;Full-time;Canada;2023;12;160000
Data Engineer;SQL Data Engineer;1;1;0;Contractor;South Africa;2023;12;312000
Data Engineer;SQL Data Engineer;1;1;0;Contractor;South Africa;2023;12;140400
Data Engineer;SQL Data Engineer;1;1;0;Contractor;South Africa;2023;12;102500
Data Engineer;SQL Data Engineer;1;1;0;Contractor;South Africa;2023;12;112500
Data Engineer;SQL Data Engineer;1;1;0;Contractor;South Africa;2023;12;72500
Data Engineer;Staff Data Engineer (Data Platform);0;1;0;Full-time;United Kingdom;2023;12;147500
Data Engineer;Data Engineer - Hybrid;0;0;0;Full-time;Sudan;2023;12;137500
Data Engineer;Data Engineer - Hybrid;0;0;0;Full-time;Sudan;2023;12;90000
Data Engineer;Data Engineer - Hybrid;0;0;0;Full-time;Sudan;2023;12;95000
Business Analyst;Lead BI Analyst;0;0;0;Full-time;United States;2023;12;109200
Business Analyst;Lead BI Analyst;0;0;0;Full-time;United States;2023;12;105800
Business Analyst;Lead BI Analyst;0;0;0;Full-time;United States;2023;12;125000
Data Analyst;Data Analyst II - Now Hiring;0;0;0;Full-time;United States;2023;12;40726.4
Data Analyst;Data Analyst II - Now Hiring;0;0;0;Full-time;United States;2023;12;55411.2
Data Analyst;Data Analyst II - Now Hiring;0;0;0;Full-time;United States;2023;12;57376.8
Data Analyst;Data Analyst II - Now Hiring;0;0;0;Full-time;United States;2023;12;86320
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;208000
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;114500
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;122600
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;125000
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;132900
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;208000
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;114500
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;122600
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;125000
Data Engineer;Data Engineer IV;0;0;1;Full-time;United States;2023;12;132900
Data Engineer;Lead Data Analytics Engineer;0;1;0;Full-time;United Kingdom;2023;12;139216
Data Engineer;Data Engineer with Azure;0;1;0;Contractor;Mexico;2023;12;135200
Data Engineer;Data Engineer with Azure;0;1;0;Contractor;Mexico;2023;12;105000
Data Engineer;Data Engineer with Azure;0;1;0;Contractor;United States;2023;12;135200
Data Engineer;Data Engineer with Azure;0;1;0;Contractor;United States;2023;12;105000
Data Analyst;Data Analyst / Data Scientist / Data Engineer;0;0;0;Full-time;India;2023;12;75000
